movieId,title,genres
284,National Lampoon's Senior Trip (1995),Comedy
285,To Live (Huozhe) (1994),Drama
286,Tank Girl (1995),Action|Comedy|Sci-Fi
287,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller
288,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
289,Tales from the Hood (1995),Action|Crime|Horror
290,Tom & Viv (1994),Drama
291,Village of the Damned (1995),Horror|Sci-Fi
292,Tommy Boy (1995),Comedy
293,Vanya on 42nd Street (1994),Drama
294,Underneath (1995),Mystery|Thriller
295,"Walking Dead, The (1995)",Drama|War
296,What's Eating Gilbert Grape (1993),Drama
297,Virtuosity (1995),Action|Sci-Fi|Thriller
298,While You Were Sleeping (1995),Comedy|Romance
299,"War, The (1994)",Adventure|Drama|War
300,Double Happiness (1994),Drama
301,Muriel's Wedding (1994),Comedy
302,"Baby-Sitters Club, The (1995)",Children
303,Ace Ventura: Pet Detective (1994),Comedy
304,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
305,Backbeat (1993),Drama|Musical
306,Bitter Moon (1992),Drama|Film-Noir|Romance
307,Bullets Over Broadway (1994),Comedy
308,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
309,"Client, The (1994)",Drama|Mystery|Thriller
310,"Corrina, Corrina (1994)",Comedy|Drama|Romance
311,Crooklyn (1994),Comedy|Drama
312,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
313,Cobb (1994),Drama
314,"Flintstones, The (1994)",Children|Comedy|Fantasy
315,Forrest Gump (1994),Comedy|Drama|Romance|War
316,Four Weddings and a Funeral (1994),Comedy|Romance
317,Higher Learning (1995),Drama
318,I Like It Like That (1994),Comedy|Drama|Romance
319,I Love Trouble (1994),Action|Comedy
320,It Could Happen to You (1994),Comedy|Drama|Romance
321,"Jungle Book, The (1994)",Adventure|Children|Romance
322,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary
323,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
324,Little Buddha (1993),Drama
325,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller
326,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
327,Maverick (1994),Adventure|Comedy|Western
328,Mrs. Parker and the Vicious Circle (1994),Drama
329,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy
330,"Paper, The (1994)",Comedy|Drama
331,Reality Bites (1994),Comedy|Drama|Romance
332,Red Rock West (1992),Thriller
333,Richie Rich (1994),Children|Comedy
334,"River Wild, The (1994)",Action|Thriller
335,Speed (1994),Action|Romance|Thriller
336,Speechless (1994),Comedy|Romance
337,Timecop (1994),Action|Sci-Fi|Thriller
338,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
339,When a Man Loves a Woman (1994),Drama|Romance
340,Wolf (1994),Drama|Horror|Romance|Thriller
341,Wyatt Earp (1994),Western
342,Bad Company (1995),Action|Crime|Drama
343,"Man of No Importance, A (1994)",Drama
344,S.F.W. (1994),Drama
345,"Low Down Dirty Shame, A (1994)",Action|Comedy
346,Boys Life (1995),Drama
347,"Colonel Chabert, Le (1994)",Drama|Romance|War
348,Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama
349,Jason's Lyric (1994),Crime|Drama
350,Street Fighter (1994),Action|Adventure|Fantasy
351,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy
352,Federal Hill (1994),Drama
353,In the Mouth of Madness (1995),Horror|Thriller
354,8 Seconds (1994),Drama
355,Above the Rim (1994),Crime|Drama
356,Addams Family Values (1993),Children|Comedy|Fantasy
357,"Age of Innocence, The (1993)",Drama
358,Airheads (1994),Comedy
359,"Air Up There, The (1994)",Comedy
360,Another Stakeout (1993),Comedy|Thriller
361,Bad Girls (1994),Western
362,Barcelona (1994),Comedy|Romance
363,Being Human (1993),Drama
364,"Beverly Hillbillies, The (1993)",Comedy
365,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller
366,Black Beauty (1994),Adventure|Children|Drama
367,Blink (1994),Thriller
368,Blown Away (1994),Action|Thriller
369,Blue Chips (1994),Drama
370,Blue Sky (1994),Drama|Romance
371,Body Snatchers (1993),Horror|Sci-Fi|Thriller
372,Boxing Helena (1993),Drama|Mystery|Romance|Thriller
373,"Bronx Tale, A (1993)",Drama
374,Cabin Boy (1994),Comedy
375,Calendar Girl (1993),Comedy|Drama
376,Carlito's Way (1993),Crime|Drama
377,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western
378,Clean Slate (1994),Comedy
379,Cliffhanger (1993),Action|Adventure|Thriller
380,Coneheads (1993),Comedy|Sci-Fi
381,Color of Night (1994),Drama|Thriller
382,Cops and Robbersons (1994),Comedy
383,"Cowboy Way, The (1994)",Action|Comedy|Drama
384,Dave (1993),Comedy|Romance
385,Dazed and Confused (1993),Comedy
386,Demolition Man (1993),Action|Adventure|Sci-Fi
387,Even Cowgirls Get the Blues (1993),Comedy|Romance
388,Fatal Instinct (1993),Comedy
389,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance
390,Fearless (1993),Drama
391,Fear of a Black Hat (1994),Comedy
392,With Honors (1994),Comedy|Drama
393,Flesh and Bone (1993),Drama|Mystery|Romance
394,Widows' Peak (1994),Drama
395,For Love or Money (1993),Comedy|Romance
396,"Firm, The (1993)",Drama|Thriller
397,Free Willy (1993),Adventure|Children|Drama
398,Fresh (1994),Crime|Drama|Thriller
399,"Fugitive, The (1993)",Thriller
400,Geronimo: An American Legend (1993),Drama|Western
401,"Getaway, The (1994)",Action|Adventure|Crime|Drama|Romance|Thriller
402,Getting Even with Dad (1994),Comedy
403,Go Fish (1994),Drama|Romance
404,Hard Target (1993),Action|Adventure|Crime|Thriller
405,Hot Shots! Part Deux (1993),Action|Comedy|War
406,Live Nude Girls (1995),Comedy
407,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy|Romance
408,"House of the Spirits, The (1993)",Drama|Romance
409,House Party 3 (1994),Comedy
410,"Hudsucker Proxy, The (1994)",Comedy
411,I'll Do Anything (1994),Comedy|Drama
412,In the Army Now (1994),Comedy|War
413,In the Line of Fire (1993),Action|Thriller
414,In the Name of the Father (1993),Drama
415,"Inkwell, The (1994)",Comedy|Drama
416,What's Love Got to Do with It? (1993),Drama|Musical
417,Jimmy Hollywood (1994),Comedy|Crime|Drama
418,Judgment Night (1993),Action|Crime|Thriller
419,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
420,Kalifornia (1993),Drama|Thriller
421,Killing Zoe (1994),Crime|Drama|Thriller
422,Lassie (1994),Adventure|Children
423,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy
424,Life with Mikey (1993),Comedy
425,Lightning Jack (1994),Comedy|Western
426,M. Butterfly (1993),Drama|Romance
427,Made in America (1993),Comedy
428,Malice (1993),Thriller
429,"Man Without a Face, The (1993)",Drama
430,Manhattan Murder Mystery (1993),Comedy|Mystery
431,Menace II Society (1993),Action|Crime|Drama
432,Executive Decision (1996),Action|Adventure|Thriller
433,In the Realm of the Senses (Ai no corrida) (1976),Drama
434,What Happened Was... (1994),Comedy|Drama|Romance|Thriller
435,Much Ado About Nothing (1993),Comedy|Romance
436,Mr. Wonderful (1993),Comedy|Romance
437,Mrs. Doubtfire (1993),Comedy|Drama
438,Naked (1993),Drama
439,"Next Karate Kid, The (1994)",Action|Children|Romance
440,No Escape (1994),Action|Drama|Sci-Fi
441,North (1994),Comedy
442,Orlando (1992),Drama|Fantasy|Romance
443,"Perfect World, A (1993)",Crime|Drama|Thriller
444,Philadelphia (1993),Drama
445,"Piano, The (1993)",Drama|Romance
446,Poetic Justice (1993),Drama
447,"Program, The (1993)",Action|Drama
448,"Puppet Masters, The (1994)",Horror|Sci-Fi
449,Radioland Murders (1994),Comedy|Mystery|Romance
450,"Ref, The (1994)",Comedy
451,"Remains of the Day, The (1993)",Drama|Romance
452,Renaissance Man (1994),Comedy|Drama
453,Rising Sun (1993),Action|Drama|Mystery
454,"Road to Wellville, The (1994)",Comedy
455,RoboCop 3 (1993),Action|Crime|Drama|Sci-Fi|Thriller
456,Robin Hood: Men in Tights (1993),Comedy
457,Romeo Is Bleeding (1993),Crime|Thriller
458,Romper Stomper (1992),Action|Drama
459,Ruby in Paradise (1993),Drama
460,Rudy (1993),Drama
461,"Savage Nights (Nuits fauves, Les) (1992)",Drama
462,Schindler's List (1993),Drama|War
463,"Scout, The (1994)",Comedy|Drama
464,Searching for Bobby Fischer (1993),Drama
465,"Secret Garden, The (1993)",Children|Drama
466,Serial Mom (1994),Comedy|Crime|Horror
467,"Shadow, The (1994)",Action|Adventure|Fantasy|Mystery
468,Shadowlands (1993),Drama|Romance
469,Short Cuts (1993),Drama
470,"Simple Twist of Fate, A (1994)",Drama
471,Sirens (1994),Drama
472,Six Degrees of Separation (1993),Drama
473,Sleepless in Seattle (1993),Comedy|Drama|Romance
474,Sliver (1993),Thriller
475,Blade Runner (1982),Action|Sci-Fi|Thriller
476,Son in Law (1993),Comedy|Drama|Romance
477,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller
478,Striking Distance (1993),Action|Crime
479,Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi
480,Surviving the Game (1994),Action|Adventure|Thriller
481,Terminal Velocity (1994),Action|Mystery|Thriller
482,Thirty-Two Short Films About Glenn Gould (1993),Drama|Musical
483,Threesome (1994),Comedy|Romance
484,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical
485,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance
486,Tombstone (1993),Action|Drama|Western
487,True Romance (1993),Crime|Thriller
488,"War Room, The (1993)",Documentary
489,"Pagemaster, The (1994)",Action|Adventure|Animation|Children|Fantasy
490,Welcome to the Dollhouse (1995),Comedy|Drama
491,Germinal (1993),Drama|Romance
492,Chasers (1994),Comedy
493,Kika (1993),Comedy|Drama
494,Bhaji on the Beach (1993),Comedy|Drama
495,Little Big League (1994),Comedy|Drama
496,"Ciao, Professore! (Io speriamo che me la cavo) (1992)",Drama
497,Spanking the Monkey (1994),Comedy|Drama
498,"Little Rascals, The (1994)",Children|Comedy
499,Andre (1994),Adventure|Children|Drama
500,"Escort, The (Scorta, La) (1993)",Crime|Thriller
501,Princess Caraboo (1994),Drama
502,"Celluloid Closet, The (1995)",Documentary
503,Dear Diary (Caro Diario) (1994),Comedy|Drama
504,"Brady Bunch Movie, The (1995)",Comedy
505,Home Alone (1990),Children|Comedy
506,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller
507,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
508,Terminator 2: Judgment Day (1991),Action|Sci-Fi
509,Dances with Wolves (1990),Adventure|Drama|Western
510,Batman (1989),Action|Crime|Thriller
511,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
512,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical
513,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
514,Pinocchio (1940),Animation|Children|Fantasy|Musical
515,Pretty Woman (1990),Comedy|Romance
516,"Wild Bunch, The (1969)",Adventure|Western
517,Love and a .45 (1994),Action|Comedy|Crime
518,"Great Day in Harlem, A (1994)",Documentary
519,One Fine Day (1996),Drama|Romance
520,Candyman: Farewell to the Flesh (1995),Fantasy|Horror
521,Fargo (1996),Comedy|Crime|Drama|Thriller
522,Homeward Bound II: Lost in San Francisco (1996),Adventure|Children
523,Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi
524,Hellraiser: Bloodline (1996),Action|Horror|Sci-Fi
525,"Pallbearer, The (1996)",Comedy
526,Jane Eyre (1996),Drama|Romance
527,Bread and Chocolate (Pane e cioccolata) (1973),Comedy|Drama
528,"Aristocats, The (1970)",Animation|Children
529,"Flower of My Secret, The (La flor de mi secreto) (1995)",Comedy|Drama
530,Two Much (1995),Comedy|Romance
531,Ed (1996),Comedy
532,"Thin Line Between Love and Hate, A (1996)",Comedy
533,"Last Supper, The (1995)",Drama|Thriller
534,Primal Fear (1996),Crime|Drama|Mystery|Thriller
535,All Dogs Go to Heaven 2 (1996),Adventure|Animation|Children|Fantasy|Musical|Romance
536,Land and Freedom (Tierra y libertad) (1995),Drama|War
537,Denise Calls Up (1995),Comedy
538,Theodore Rex (1995),Comedy
539,"Family Thing, A (1996)",Comedy|Drama
540,Frisk (1995),Drama
541,Sgt. Bilko (1996),Comedy
542,Jack and Sarah (1995),Romance
543,Girl 6 (1996),Comedy|Drama
544,Diabolique (1996),Drama|Thriller
545,Nelly & Monsieur Arnaud (1995),Drama
546,Courage Under Fire (1996),Action|Crime|Drama|War
547,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller
548,Cold Fever (Á köldum klaka) (1995),Comedy|Drama
549,Moll Flanders (1996),Drama
550,Dragonheart (1996),Action|Adventure|Fantasy
551,Eddie (1996),Comedy
552,James and the Giant Peach (1996),Adventure|Animation|Children|Fantasy|Musical
553,Fear (1996),Thriller
554,Kids in the Hall: Brain Candy (1996),Comedy
555,Underground (1995),Comedy|Drama|War
556,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),Action
557,Song of the Little Road (Pather Panchali) (1955),Drama
558,"World of Apu, The (Apur Sansar) (1959)",Drama
559,Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi
560,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi
561,Barbarella (1968),Adventure|Comedy|Sci-Fi
562,Some Folks Call It a Sling Blade (1993),Drama|Thriller
563,"Run of the Country, The (1995)",Drama
564,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",Drama|Mystery|Romance|Sci-Fi|Thriller
565,It's My Party (1996),Drama
566,Operation Dumbo Drop (1995),Action|Adventure|Comedy|War
567,Mrs. Winterbourne (1996),Comedy|Romance
